,id,title,tags
14,1408,Cutthroat Island,"morgan adam and her slave, william shaw, are on a quest to recov the three portion of a treasur map. unfortunately, the final portion is held by her murder uncle, dawg. her crew is skeptic of her leadership abilities, so she must complet her quest befor they mutini against her. thi is made yet more difficult by the effort of the british crown to end her pirat raids. action adventur rennyharlin"
15,524,Casino,the life of the gambl paradis – la vega – and it dark mafia underbelly. drama crime martinscorses
16,4584,Sense and Sensibility,"rich mr. dashwood dies, leav hi second wife and her daughter poor by the rule of inheritance. two daughter are the titular opposites. drama romanc angle"
17,5,Four Rooms,it' ted the bellhop' first night on the job...and the hotel' veri unusu guest are about to place him in some outrag predicaments. it seem that thi evening' room servic is serv up one unbeliev happen after another. crime comedi allisonand alexandrerockwel robertrodriguez quentintarantino
18,9273,Ace Ventura: When Nature Calls,"summon from an ashram in tibet, ace find himself on a peril journey into the jungl of africa to find shikaka, the miss sacr anim of the friendli wachati tribe. he must accomplish thi befor the wed of the wachati' princess to the princ of the warrior wachootoos. if ace fails, the result will be a viciou tribal war. crime comedi adventur steveoedekerk"
19,11517,Money Train,"a veng new york transit cop decid to steal a trainload of subway fares; hi foster brother, a fellow cop, tri to protect him. action comedi crime josephruben"
20,8012,Get Shorty,"chili palmer is a miami mobster who get sent by hi boss, the psychopath ""bones"" barboni, to collect a bad debt from harri zimm, a hollywood produc who special in cheesi horror films. when chili meet harry' lead lady, the romant spark fly. after pitch hi own life stori as a movi idea, chili learn that be a mobster and be a hollywood produc realli aren't all that different. comedi thriller crime barrysonnenfeld"
21,1710,Copycat,an agoraphob psychologist and a femal detect must work togeth to take down a serial killer who copi serial killer from the past. drama thriller jonamiel
22,9691,Assassins,"assassin robert rath arriv at a funer to kill a promin mobster, onli to wit a rival hire gun complet the job for him -- with grisli results. horrifi by the murder of innoc bystanders, rath decid to take one last job and then return to civilian life. but find hi way out of the world of contract kill grow ever more danger as rath fall for hi femal target and becom a mark man himself. action adventur crime thriller richarddonn"
23,12665,Powder,"harass by classmat who won't accept hi shock appearance, a shi young man known as ""powder"" struggl to fit in. but the cruel taunt stop when powder display a mysteri power that allow him to do incred things. thi phenomenon chang the live of all those around him in way they never could have imagined. drama fantasi sciencefict thriller victorsalva"
24,451,Leaving Las Vegas,"ben sanderson, an alcohol hollywood screenwrit who lost everyth becaus of hi drinking, arriv in la vega to drink himself to death. there, he meet and form an uneasi friendship and non-interfer pact with prostitut sera. drama romanc mikefiggi"
25,16420,Othello,the evil iago pretend to be friend of othello in order to manipul him to serv hi own end in the film version of thi shakespear classic. drama oliverpark
26,9263,Now and Then,"wax nostalg about the bittersweet passag from childhood to puberti in thi tender coming-of-ag tale, four childhood girlfriend -- teeny, chrissy, samantha and roberta -- recal the magic summer of 1970. dure their walk down memori lane, they reconcil experi with boys, secrets, bulli and more. comedi drama famili leslilinkaglatt"
27,17015,Persuasion,"thi film adapt of jane austen' last novel follow ann elliot, the daughter of a financi troubl aristocrat family, who is persuad to break her engag to frederick wentworth, a young sea captain of meager means. year later, money troubl forc anne' father to rent out the famili estat to admir croft, and ann is again thrown into compani with frederick -- who is now rich, success and perhap still in love with anne. drama romanc rogermichel"
28,902,The City of Lost Children,"a scientist in a surrealist societi kidnap children to steal their dreams, hope that they slow hi age process. fantasi sciencefict adventur jean-pierrejeunet marccaro"
29,37557,Shanghai Triad,a provinci boy relat to a shanghai crime famili is recruit by hi uncl into cosmopolitan shanghai in the 1930 to be a servant to a ganglord' mistress. drama crime zhangyim
30,9909,Dangerous Minds,"former marin louann johnson land a gig teach in a pilot program for bright but underachiev teen at a notori inner-c high school. after have a terribl first day, she decid she must throw decorum to the wind. when johnson return to the classroom, she doe so arm with a no-nonsens attitud inform by her militari train and a fearless determin to better the live of her student -- no matter what the cost. drama crime johnn.smith"
31,63,Twelve Monkeys,"in the year 2035, convict jame cole reluctantli volunt to be sent back in time to discov the origin of a deadli viru that wipe out nearli all of the earth' popul and forc the survivor into underground communities. but when cole is mistakenli sent to 1990 instead of 1996, he' arrest and lock up in a mental hospital. there he meet psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famou viru expert, who may hold the key to the mysteri rogu group, the armi of the 12 monkeys, thought to be respons for unleash the killer disease. sciencefict thriller mysteri terrygilliam"
32,78802,Wings of Courage,sin descripción romanc adventur jean-jacquesannaud
33,9598,Babe,"babe is a littl pig who doesn't quit know hi place in the world. with a bunch of odd friends, like ferdinand the duck who think he is a rooster and fli the dog he call mom, babe realiz that he ha the make to becom the greatest sheep pig of all time, and farmer hogget know it. with the help of the sheep dog babe learn that a pig can be anyth that he want to be. fantasi drama comedi famili chrisnoonan"
34,47018,Carrington,"the stori of the relationship between painter dora carrington and author lytton strachey in a world war one england of cottag and countryside. although platon due to strachey' homosexuality, the relationship wa nevertheless a deep and complic one. when carrington did develop a more physic relationship with soldier ralph partridge, strachey wa abl to welcom him as a friend, although partridg remain somewhat uneasy, not so much with strachey' lifestyl and sexual orient as with the fact that he wa a conscienti objector. histori drama romanc christopherhampton"
35,687,Dead Man Walking,a justic drama base on a true stori about a man on death row who in hi last day form a strong relationship with a nun who teach him forgiv and give him spiritu as she accompani him to hi execution. susan sarandon won an oscar for best femal actress for her convinc portray of sister helen prejean. drama timrobbin
36,139405,Across the Sea of Time,"a young russian boy, thoma minton, travel to new york as a passeng on a russian freighter. close to elli island he get off and thu start hi journey to america the same way as all immigr in former times. thoma is search for the famili of one of hi ancestors, who had emigr decad ago, but onc sent a letter home togeth with a sampl of hi new profession: 3d-photography. the boy follow hi relative' trace by counter-check the old 3d-photograph of new york (use an antiqu viewer) with the same place and how they look today. thi way, the audienc get to see the big appl in former time as well as today. adventur histori drama famili stephenlow"
37,33689,It Takes Two,"ident 9-year-old from veri differ backgrounds: orphan amanda and wealthi alyssa meet at summer camp and decid to switch place -- and play matchmak between alyssa' dad, roger, and the kind social worker who care for amanda. comedi famili romanc andytenn"
38,9603,Clueless,"shallow, rich and social success cher is at the top of her beverli hill high school' peck scale. see herself as a matchmaker, cher first coax two teacher into date each other. embolden by her success, she decid to give hopelessli klutzi new student tai a makeover. when tai becom more popular than she is, cher realiz that her disapprov ex-stepbroth wa right about how misguid she wa -- and fall for him. comedi drama romanc amyheckerl"
39,34615,"Cry, the Beloved Country",a south-african preacher goe to search for hi wayward son who ha commit a crime in the big city. drama darrelljamesroodt
40,31174,Richard III,shakespeare' play transplant into a 1930 setting. drama war richardloncrain
41,11443,Dead Presidents,"depict a heist of old bills, retir from circul and destin by the govern to be ""money to burn"". however, more broadly, it address the issu of black americans' involv in the vietnam war and their subsequ disillusion with progress in social issu and civil right back home in the unit states, dure the 1960s. action crime drama histori alberthugh allenhugh"
42,35196,Restoration,"an aspir young physician, robert merivel found himself in the servic of king charl ii and save the life of someon close to the king. merivel join the king' court and live the high life provid to someon of hi position. merivel is order to marri hi king' mistress in order to divert the queen suspicions. he is given one order by the king and that is not to fall in love. the situat worsen when merivel find himself in love with hi new wife. eventually, the king find out and reliev merivel of hi posit and wealth. hi fall from grace leav merivel where he first started. and through hi travel and reunion with an old friend, he rediscov hi love for true medicin and what it realli mean to be a physician. drama romanc michaelhoffman"
43,9312,Mortal Kombat,"for nine gener an evil sorcer ha been victori in hand-to-hand battl against hi mortal enemies. if he win a tenth mortal kombat tournament, desol and evil will reign over the multivers forever. to save earth, three warrior must overcom seemingli insurmount odds, their own inner demons, and superhuman foe in thi action/adventur movi base on one of the most popular video game of all time. action fantasi paulw.s.anderson"
44,577,To Die For,"susan want to work in televis and will therefor do anyth it takes, even if it mean kill her husband. a veri dark comedi from independ director gu van sant with a brilliant nicol kidman in the lead role. fantasi drama comedi thriller gusvans"
45,11861,How To Make An American Quilt,"soon-to-be-w graduat student finn dodd develop cold feet when she suspect her fiancé is cheat on her. in order to clear her head, finn visit her grandmother, hy, and great aunt, gladi joe cleary, in grasse, calif. there, finn learn that hy and gladi joe are member of a group of passion quilters, and over the cours of her visit she is regal with tale of love and life by women who have collect rich experi and much wisdom. drama romanc jocelynmoorhous"
46,807,Se7en,"two homicid detect are on a desper hunt for a serial killer whose crime are base on the ""seven deadli sins"" in thi dark and haunt film that take viewer from the tortur remain of one victim to the next. the season det. sommerset research each sin in an effort to get insid the killer' mind, while hi novic partner, mills, scoff at hi effort to unravel the case. crime mysteri thriller davidfinch"
47,10530,Pocahontas,"histori come glorious to life in disney' epic anim tale about love and adventur in the new world. pocahonta is a nativ american woman whose father ha arrang for her to marri her village' best warrior. but a vision tell her chang is coming, and soon she come face to face with it in the form of capt. john smith. adventur anim drama famili mikegabriel ericgoldberg"
48,8391,When Night Is Falling,"a prudish woman, work on tenur as a literaci professor at a larg urban university, find herself strang attract to a free-spirited, liber woman whom work at a local carniv which come to town. drama romanc patriciarozema"
49,629,The Usual Suspects,"held in an l.a. interrog room, verbal kint attempt to convinc the fed that a mythic crime lord, keyser soze, not onli exists, but wa also respons for draw him and hi four partner into a multi-million dollar heist that end with an explos in san pedro harbor – leav few survivors. verbal lure hi interrog with an incred stori of the crime lord' almost supernatur prowess. drama crime thriller bryansing"
50,117164,Guardian Angel,"detect - turn - bodyguard cynthia mckay (cynthia rothrock) is hire by a psychot ici seductress, nina lindel (lydi denier), the same woman who kill mckay' lover month earlier. with vendetta in her heart mckay accompani the flamboyantli play woman through the glamour world of the super-rich as hi protector. in a uniqu role reversal, it is the woman protect the man from anoth woman, erupt into a deadli triangl of passion, suspens and action. action thriller drama richardw.munchkin"
51,11448,Mighty Aphrodite,"when lenni and hi wife, amanda, adopt a baby, lenni realiz that hi son is a geniu and becom obsess with find the boy' biolog mother in hope that she will be brilliant too. but when he learn that max' mother is linda ash, a kindheart prostitut and porn star, lenni is determin to reform her immor lifestyle. a greek choru chime in to relat the plot to greek mytholog in thi quirki comedy. comedi romanc woodyallen"
52,49133,Lamerica,"fiore, an italian conman, arriv in post communist albania with gino, hi young apprentice, to set up a shoe factori that will never open. the con requir a nativ albanian, so they design spiro, an impoverish and confus former polit prison as chairman of the board. when fior return to itali to get govern fund for the project, spiro unexpectedli disappear and gino set out on a journey to find him. the search lead him to discov spiro' tragic person histori and wit albanian poverti firsthand. drama foreign gianniamelio"
53,26441,The Big Green,"in a depress texa town, british foreign exchang teacher anna attempt to inject some life into her hopeless kid by introduc them to soccer. they'r terribl at first, but anna and her football-hero assist whip them into shape. as they work overtime, the pair help kid build their self-esteem and also get involv in solv famili squabbles. action adventur comedi famili hollygoldbergsloan"
54,97406,Georgia,"sadi look up to her older sister georgia, a success folk singer who' happili marri with children, but can't break out of the bar-band circuit and hit the big time she desper covets. it' in part due to her attract to drug and booze, and also to her own unwis choic in men. finally, though, sadie' achil heel is a rough, unlov voic veri differ than her sister' crowd-pleas singing. drama ulugrosbard"
55,124057,Kids of the Round Table,"set in modern times, alex find king arthur' sword excalibur and must prove himself worthi of it. roberttinnel"
56,9089,Home for the Holidays,"after lose her job, make out with her soon to be ex-boss, and find out that her daughter plan to spend thanksgiv with her boyfriend, claudia larson ha to face spend the holiday with her family. she wonder if she can surviv their crazi antics. comedi drama romanc jodiefost"
57,11010,The Postman,simpl italian postman learn to love poetri while deliv mail to a famou poet; he use thi to woo local beauti beatrice. comedi drama romanc michaelradford
58,99040,The Confessional,"the year is 1952, in quebec city. rachel (16), unmarri and pregnant, work in the church. fill with shame, she unburden her guilt to a young priest, under the confidenti of the confessional. in the present year of 1989, pierr lamontagn ha return to quebec to attend hi father' funeral. he meet up with hi adopt brother, marc, who ha begun question hi ident and ha embark on a quest for hi root that would lead them to the quebec of the 1950s. past and present converg in a complex web of intrigu where the answer to the mysteri lies. thriller drama mysteri robertlepag"
59,11359,The Indian in the Cupboard,a nine-year-old boy get a plastic indian and a cupboard for hi birthday and find himself involv in adventur when the indian come to life and befriend him. adventur famili fantasi frankoz
60,17182,Eye for an Eye,"it' fire and brimston time as griev mother karen mccann take justic into her own hand when a kangaroo court in lo angel fail to convict robert doob, the monster who rape and murder her 17-year-old daughter. drama thriller johnschlesing"
61,2054,Mr. Holland's Opus,"in 1965, passion musician glenn holland take a day job as a high school music teacher, convinc it' just a small obstacl on the road to hi true calling: write a histor opus. as the decad roll by with the composit unwritten but gener of student inspir through hi teaching, holland must redefin hi life' purpose. music drama famili stephenherek"
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"when ashtray (shawn wayans) move to south central l.a. to live with hi father (who appear to be the same age he is) and grandmoth (who like to talk tough and smoke reefer), he fall in with hi gang-bang cousin loc dog (marlon wayans), who along with the requisit pistol and uzi carri a thermo-nuclear warhead for self-defense. will ashtray be abl to keep live the straight life? comedi parisbarclay"
63,19760,Two If by Sea,"frank o'brien, a petti thief, and hi 7-year-long girlfriend roz want to put an end to their unsteadi lifestyl and just do that last job, which involv steal a valuabl painting. frank take roz to an island on the coast of new england, where he want to sell the paint and also hope that their sag relationship will get a posit push back up. not everyth goe as planned. comedi romanc billbennett"
64,9536,Bio-Dome,"bud and doyl are two loser who are do noth with their lives. both of their girlfriend are activ involv in save the environment, but the two friend couldn't care less about save the earth. one day, when a group of scientist begin a mission to live insid a ""bio-dome"" for a year without outsid contact, bud and doyl mistakenli becom part of the project themselves. comedi jasonbloom"
65,11525,Lawnmower Man 2: Beyond Cyberspace,"jobe is resuscit by jonathan walker. he want jobe to creat a special comput chip that would connect all the comput in the world into one network, which walker would control and use. but what walker doesn't realiz is a group of teenag hacker are on to him and out to stop hi plan. action sciencefict farhadmann"
66,40628,Two Bits,"it' a hot summer day in 1933 in south philly, where 12-year old gennaro live with hi widow mom and hi ail grandpa, who sit outsid hold tight to hi last quarter, which he' promis to gennaro and which gennaro would like to have to buy a ticket to the plush new movi theater. but grandpa' not readi to pass on the quarter or pass on to hi final reward: he ha some unfinish busi with a woman from hi past, and he enlist gennaro to act as hi emissary. drama famili jamesfoley"
67,4482,French Twist,"after learn of her husband' infidelities, a housewif invit an itiner lesbian to move in with them. none of their live will ever be the same again. comedi romanc josianebalasko"
68,10634,Friday,"craig and smokey are two guy in lo angel hang out on their porch on a friday afternoon, smoke and drinking, look for someth to do. comedi f.garygray"
69,755,From Dusk Till Dawn,"seth gecko and hi younger brother richard are on the run after a bloodi bank robberi in texas. they escap across the border into mexico and will be home-fre the next morning, when they pay off the local kingpin. they just have to surviv 'from dusk till dawn' at the rendezv point, which turn out to be a hell of a strip joint. horror action thriller crime robertrodriguez"
70,11859,Fair Game,"max kirkpatrick is a cop who protect kate mcquean, a civil law attorney, from a renegad kgb team out to termin her action thriller romanc andrewsip"
71,28387,Kicking and Screaming,"after colleg graduation, grover' girlfriend jane tell him she' move to pragu to studi writing. grover declin to accompani her, decid instead to move in with sever friends, all of whom can't quit work up the inertia to escap their university' pull. nobodi want to make ani big decis that would radic alter hi life, yet none of them want to end up like chet, the profession student who tend bar and is in hi tenth year of univers studies. comedi drama romanc noahbaumbach"
72,48750,Les Miserables,"in franc dure world war ii, a poor and illiter man, henri fortin (jean-paul belmondo), is introduc to victor hugo' classic novel le misérabl and begin to see parallel between the book and hi own life. drama histori claudelelouch"
73,20927,Bed of Roses,"the seed of love are plant when lisa, a high-pow invest banker, receiv flower from a secret admirer. but when hi fairy-tal fantasi clash with her workahol ways, they soon find out that sometimes, it' harder than it seem for love to conquer all. drama romanc michaelgoldenberg"
74,36929,Big Bully,"a writer return to hi hometown where he face the childhood nemesi whose life he ultim ruined, onli the bulli want to reliv their pain past by tortur him onc again. comedi famili stevemin"
75,9102,Screamers,"(siriu 6b, year 2078) on a distant mine planet ravag by a decad of war, scientist have creat the perfect weapon: a blade-wielding, self-repl race of kill devic known as screamer design for one purpos onli -- to hunt down and destroy all enemi life forms. horror sciencefict christianduguay"
76,124626,Nico Icon,"a look into the mani live of christa päffgen, otherwis known as nico; from cuti german mädchen to the first of the supermodels, to glamor diva of the velvet underground, to cult item, junki and hag. mani face for the same woman, whom, you realize, just couldn't bring herself to care enough to live. documentari susanneoftering"
77,27526,The Crossing Guard,"after hi daughter die in a hit and run, freddi gale ha wait six year for john booth, the man responsible, to be releas from prison. on the day of release, gale visit booth and announc that he will kill him in one week. booth use hi time to tri and make peac with himself and hi entourage, and even find romance. gale, whose life is spiral down becaus of hi obsess toward booth, will bring himself on the veri edg of sanity. at he end of the week, both men will find themselv on a collis cours with each other. drama thriller seanpenn"
78,9623,The Juror,"with hi gangster boss on trial for murder, a mob thug known as ""the teacher"" tell anni laird she must talk her fellow juror into a not-guilti verdict, impli that he'll kill her son oliv if she fails. she manag to do this, but, when it becom clear that the mobster might want to silenc her for good, she send oliv abroad and tri to gather evid of the plot against her, set up a final showdown. drama thriller briangibson"
79,46785,The White Balloon,sever peopl tri to take advantag of a littl girl' innoc to hustl money her mom gave to her to buy a goldfish with. famili drama jafarpanahi
80,400,Things to Do in Denver When You're Dead,a mafia film in tarantino style with a star-stud cast. jimmy’ “the saint” gangster career ha final ended. yet now he find him self do favor for a wise godfath known as “the man with the plan.” drama crime garyfled
81,880,Antonia's Line,"after world war ii, antonia and her daughter, danielle, go back to their dutch hometown, where antonia' late mother ha bestow a small farm upon her. there, antonia settl down and join a tightly-knit but unusu community. those around her includ quirki friend crook finger, would-b suitor ba and, eventu for antonia, a granddaught and great-granddaught who help creat a strong famili of empow women. drama comedi marleengorri"
82,146599,Once Upon a Time... When We Were Colored,"thi film relat the stori of a tightli connect afro-american commun inform call color town where the inhabit live and depend on each other in a world where racist oppress is everywhere, as told by a boy call cliff who spent hi childhood there. despit this, we see the life of the commun in all it joy and sorrows, of those that live there while other decid to leav for a better life north. for those remaining, thing come to a seriou situat when one promin businessman is be muscl out by a white competitor use racist intimidation. in response, the commun must make the decis of whether to submit meekli like they alway have, or final fight for their rights. romanc drama timreid"
83,188588,Last Summer in the Hamptons,"film entir on locat in east hampton, long island, ""last summer in the hamptons"" concern a larg theatric famili spend the last weekend of their summer togeth at the decades-old famili retreat which econom circumst have forc them to put on the market. victoria foyt play a young hollywood actress whose visit wreak havoc on the stellar group of famili and friend - led by matriarch viveca lindfor and made up of an extraordinari mix of promin new york actors, directors, and playwrights. in the cours of a veri unusu weekend, comic as well as seriou situat arise, and the family' secret - of which there are mani - begin to unravel. henryjaglom"
84,8447,Angels and Insects,"in victorian england, wealthi patriarch sir harald alabast invit an impoverish biologist, william adamson, into hi home. there, william tri to continu hi work, but is distract by alabaster' seduct daughter, eugenia. william and eugenia begin a torrid romance, but as the coupl becom closer, the young scientist begin to realiz that dark, disturb thing are happen behind the close door of the alabast manor. drama romanc philiphaa"
85,10534,White Squall,teenag boy discov disciplin and camaraderi on an ill-fat sail voyage. action drama ridleyscott
86,17414,Dunston Checks In,"hotel manag robert grant is forc by hi boss to postpon hi famili vacat when a hotel critic check in. troubl is, the critic is realli a villain jewel thief with an orangutan assist name dunston. when dunston get loos and tri to escap a life of crime -- aid by robert' son -- havoc, hijink and lot of laugh abound! adventur comedi famili kenkwapi"
87,13997,Black Sheep,"when dignifi albert donnelli run for governor, hi team move to keep hi slow-wit and klutzi younger brother, mike, out of the eye of the media. to baby-sit mike, the campaign assign sarcast steve, who get the experi of a lifetim when he tri to take mike out of town dure the election. comedi penelopespheeri"
88,2086,Nick of Time,"gene watson is a public account who arriv on a train at union station in lo angeles, accompani by hi 6-year-old daughter lynn. becaus of hi ordinari looks, he is approach by a pair of sinist peopl name smith and jones. crime drama thriller johnbadham"
89,61548,The Journey of August King,"the journey of august king is a multi-dimension drama about a north carolina farmer in 1815. august king, a widower, is on hi way home as he doe everi year after sell hi produc and purchas the stock and good he will need to surviv the winter. on hi journey, he come upon a run-away slave, a young woman about 19 and august king must decid to violat the law and help thi slave to freedom or els leav her to be hunt down and, ultimately, return to her slave owner. drama johnduigan"
90,9095,Mary Reilly,"a housemaid fall in love with dr. jekyl and hi darkli mysteri counterpart, mr. hyde. drama horror thriller romanc stephenfrear"
91,12158,Vampire in Brooklyn,"maximillian, the lone survivor of a race of vampires, come to brooklyn in search of a way to live past the next full moon. hi ticket to surviv is rita, a nypd detect who doesn't know she' half vampir -- and maximillian will do whatever' necessari to put her under hi spell. comedi horror romanc wescraven"
92,9283,Beautiful Girls,"dure a snowi winter in the small fiction town of knight"" ridge, massachusetts, a group of lifelong buddi hang out, drink and struggl to connect with the women who affect their decisions, dream and desires. comedi drama romanc teddemm"
93,9208,Broken Arrow,"when rogu stealth-fight pilot vic deakin deliber drop off the radar while on maneuvers, the air forc end up with two stolen nuclear warhead -- and deakins' co-pilot, riley hale, is the military' onli hope for get them back. travers the desert canyon of utah, hale team with park ranger terri carmichael to put deakin back in hi box. action adventur drama thriller johnwoo"
94,40154,A Midwinter's Tale,"out of work actor joe volunt to help tri and save hi sister' local church for the commun by put on a christma product of hamlet, somewhat against the advic of hi agent margaretta. as the cast he assembl are still avail even at christma and are prepar to do it on a 'profit sharing' basi (that is, they may not get paid anything) he cannot expect - and doe not get - the cream of the cream. but although they all bring their own problem and foibl along, someth bigger start to emerg in the perhap aptli name villag of hope. comedi kennethbranagh"
95,406,La Haine,"aimlessli while away their day in the concret environ of their dead-end suburbia, vinz, hubert, and said -- a jew, african, and an arab -- give human face to france' immigr populations, their bristl resent at their social margin slowli simmer until it reach a climact boil point. la hain mean hate. drama mathieukassovitz"
96,45549,Shopping,"a dark, hip, urban stori of a barren and anonym citi where the underclass' sport of choic is ram-raiding. an excit game in which stolen car are driven through shop window to aid large-scal loot befor the polic arrive. for tommy, it' a business, but for billi and jo, it' a labour of love. as the competit between tommi and billi grow more fierce, the stake becom higher and the ""shopping"" trip increasingli risky. action adventur drama sciencefict thriller paulw.s.anderson"
97,63076,Heidi Fleiss: Hollywood Madam,"a documentari crew from the bbc arriv in l.a. intent on interview heidi fleiss, a year after her arrest for run a brothel but befor her trial. sever month elaps befor the interview, so the crew search for anyon who'll talk about the young woman. two peopl have a lot to say to the camera: a retir madam name alex for whom fleiss onc work and fleiss' one-tim boyfriend, ivan nagy, who introduc her to alex. alex and nagi don't like each other, so the crew shuttl between them with ""she said"" and ""he said."" when they final interview fleiss, they spend their time recit what alex and nagi have had to say and ask her reaction. documentari nickbroomfield"
98,11062,City Hall,"the accident shoot of a boy in new york lead to an investig by the deputi mayor, and unexpectedli far-reach consequences. drama thriller haroldbeck"
99,13685,Bottle Rocket,"upon hi releas from a mental hospit follow a nervou breakdown, the directionless anthoni join hi friend dignan, who seem far less sane than the former. dignan ha hatch a hair-brain scheme for an as-yet-unspecifi crime spree that somehow involv hi former boss, the (supposedly) legendari mr. henry. comedi crime drama wesanderson"
100,47475,Mr. Wrong,"a singl and lone woman find the seemingli perfect man to date, but soon regret it when hi derang and possess other person emerg and worst still, she cannot convinc anyon els of hi jekyll/hyd true nature. comedi romanc nickcastl"
101,2045,Unforgettable,"ray liotta star as a medic examin who ha been acquit for hi wife' murder but mani still question hi innocence. obsess with find hi wife' killer, a possibl solut present itself in an experiment serum design by a neurobiolog linda fiorentino which ha the abil to transfer memori from one person to another, but not without consequences. liotta driven to solv the case inject himself with the serum, bring him closer and closer to find her killer but bring him closer to death. drama mysteri sciencefict thriller johndahl"
102,9614,Happy Gilmore,"fail hockey player-turned-golf whiz happi gilmor -- whose unconvent approach and antic on the grass court the ire of rival shooter mcgavin -- is determin to win a pga tournament so he can save hi granny' hous with the prize money. meanwhile, an attract tour publicist tri to soften happy' image. comedi dennisdugan"
103,688,The Bridges of Madison County,photograph robert kincaid wander into the life of housewif francesca johnson for four day in the 1960s. drama romanc clinteastwood
104,11907,Nobody Loves Me,no overview found. drama comedi famili dorisdörri
105,10874,Muppet Treasure Island,"after tell the stori of flint' last journey to young jim hawkins, billi bone ha a heart attack and die just as jim and hi friend are attack by pirates. the gang escap into the town where they hire out a boat and crew to find the hidden treasure, which wa reveal by bone befor he died. on their voyag across the seas, they soon find out that not everyon on board can be trusted. action comedi music famili adventur brianhenson"
106,89333,Catwalk,"a documentari follow christi turlington and other model dure spring fashion week in milan, pari and new york. documentari robertleacock"
107,96357,Headless Body in Topless Bar,an ex-con hold a group of peopl hostag in a topless bar. crime jamesbruc
108,197,Braveheart,"enrag at the slaughter of murron, hi new bride and childhood love, scottish warrior william wallac slay a platoon of the local english lord' soldiers. thi lead the villag to revolt and, eventually, the entir countri to rise up against english rule. action drama histori war melgibson"
109,103,Taxi Driver,"a mental unstabl vietnam war veteran work as a night-tim taxi driver in new york citi where the perceiv decad and sleaz feed hi urg for violent action, attempt to save a preadolesc prostitut in the process. crime drama martinscorses"
